id,name,brand,categoryId,mpn,mpn_confidence
"cpu-amd-amd-ryzen-3-3100","AMD Ryzen 3 3100","AMD","cpu","100-100000284BOX","high"
"cpu-amd-amd-ryzen-3-3300x","AMD Ryzen 3 3300X","AMD","cpu","100-100000159BOX","high"
"cpu-amd-amd-ryzen-5-3600","AMD Ryzen 5 3600","AMD","cpu","100-100000031BOX","high"
"cpu-amd-amd-ryzen-5-3600xt","AMD Ryzen 5 3600XT","AMD","cpu","100-100000281BOX","high"
"cpu-amd-amd-ryzen-7-3700x","AMD Ryzen 7 3700X","AMD","cpu","100-100000071BOX","high"
"cpu-amd-amd-ryzen-7-3800xt","AMD Ryzen 7 3800XT","AMD","cpu","100-100000279BOX","high"
"cpu-amd-amd-ryzen-9-3900xt","AMD Ryzen 9 3900XT","AMD","cpu","100-100000277BOX","high"
"cpu-amd-amd-ryzen-9-3950x","AMD Ryzen 9 3950X","AMD","cpu","100-100000051BOX","high"
"cpu-amd-amd-ryzen-5-4500","AMD Ryzen 5 4500","AMD","cpu","100-100000644BOX","high"
"cpu-amd-amd-ryzen-5-4600g","AMD Ryzen 5 4600G","AMD","cpu","100-100000147BOX","medium"
"cpu-amd-amd-ryzen-5-5500","AMD Ryzen 5 5500","AMD","cpu","100-100000457BOX","high"
"cpu-amd-amd-ryzen-5-5600","AMD Ryzen 5 5600","AMD","cpu","100-100000927BOX","high"
"cpu-amd-amd-ryzen-5-5600g","AMD Ryzen 5 5600G","AMD","cpu","100-100000252BOX","high"
"cpu-amd-amd-ryzen-5-5600x","AMD Ryzen 5 5600X","AMD","cpu","100-100000065BOX","high"
"cpu-amd-amd-ryzen-5-5600x3d","AMD Ryzen 5 5600X3D","AMD","cpu","100-100001238BOX","medium"
"cpu-amd-amd-ryzen-7-5700g","AMD Ryzen 7 5700G","AMD","cpu","100-100000263BOX","high"
"cpu-amd-amd-ryzen-7-5700x","AMD Ryzen 7 5700X","AMD","cpu","100-100000926BOX","high"
"cpu-amd-amd-ryzen-7-5700x3d","AMD Ryzen 7 5700X3D","AMD","cpu","100-100001503BOX","medium"
"cpu-amd-amd-ryzen-7-5800x","AMD Ryzen 7 5800X","AMD","cpu","100-100000063BOX","high"
"cpu-amd-amd-ryzen-7-5800x3d","AMD Ryzen 7 5800X3D","AMD","cpu","100-100000651BOX","high"
"cpu-amd-amd-ryzen-9-5900x","AMD Ryzen 9 5900X","AMD","cpu","100-100000061WOF","high"
"cpu-amd-amd-ryzen-9-5950x","AMD Ryzen 9 5950X","AMD","cpu","100-100000059WOF","high"
"cpu-amd-amd-ryzen-5-7500f","AMD Ryzen 5 7500F","AMD","cpu","100-100000597BOX","medium"
"cpu-amd-amd-ryzen-5-7600","AMD Ryzen 5 7600","AMD","cpu","100-100001015BOX","medium"
"cpu-amd-amd-ryzen-5-7600x","AMD Ryzen 5 7600X","AMD","cpu","100-100000593WOF","high"
"cpu-amd-amd-ryzen-7-7700","AMD Ryzen 7 7700","AMD","cpu","100-100001335BOX","medium"
"cpu-amd-amd-ryzen-7-7700x","AMD Ryzen 7 7700X","AMD","cpu","100-100000591WOF","high"
"cpu-amd-amd-ryzen-7-7800x3d","AMD Ryzen 7 7800X3D","AMD","cpu","100-100000910WOF","high"
"cpu-amd-amd-ryzen-9-7900","AMD Ryzen 9 7900","AMD","cpu","100-100000590BOX","medium"
"cpu-amd-amd-ryzen-9-7900x","AMD Ryzen 9 7900X","AMD","cpu","100-100000589WOF","high"
"cpu-amd-amd-ryzen-9-7900x3d","AMD Ryzen 9 7900X3D","AMD","cpu","100-100000909WOF","medium"
"cpu-amd-amd-ryzen-9-7950x","AMD Ryzen 9 7950X","AMD","cpu","100-100000514WOF","medium"
"cpu-amd-amd-ryzen-9-7950x3d","AMD Ryzen 9 7950X3D","AMD","cpu","100-100000908WOF","medium"
"cpu-amd-amd-ryzen-5-8500g","AMD Ryzen 5 8500G","AMD","cpu","100-100000931BOX","medium"
"cpu-amd-amd-ryzen-5-8600g","AMD Ryzen 5 8600G","AMD","cpu","100-100000994BOX","medium"
"cpu-amd-amd-ryzen-7-8700g","AMD Ryzen 7 8700G","AMD","cpu","100-100000263BOX","medium"
"cpu-amd-amd-ryzen-5-9600x","AMD Ryzen 5 9600X","AMD","cpu","100-100001405BOX","medium"
"cpu-amd-amd-ryzen-7-9700x","AMD Ryzen 7 9700X","AMD","cpu","100-100001404BOX","medium"
"cpu-amd-amd-ryzen-7-9800x3d","AMD Ryzen 7 9800X3D","AMD","cpu","100-100001770BOX","medium"
"cpu-amd-amd-ryzen-9-9900x","AMD Ryzen 9 9900X","AMD","cpu","100-100001561BOX","medium"
"cpu-amd-amd-ryzen-9-9900x3d","AMD Ryzen 9 9900X3D","AMD","cpu","100-100001359BOX","medium"
"cpu-amd-amd-ryzen-9-9950x","AMD Ryzen 9 9950X","AMD","cpu","100-100001277BOX","medium"
"cpu-amd-amd-ryzen-9-9950x3d","AMD Ryzen 9 9950X3D","AMD","cpu","100-100001360BOX","medium"
"cpu-intel-intel-core-i3-10100","Intel Core i3-10100","Intel","cpu","BX8070110100","high"
"cpu-intel-intel-core-i3-10100f","Intel Core i3-10100F","Intel","cpu","BX8070110100F","high"
"cpu-intel-intel-core-i5-10400","Intel Core i5-10400","Intel","cpu","BX8070110400","high"
"cpu-intel-intel-core-i5-10400f","Intel Core i5-10400F","Intel","cpu","BX8070110400F","high"
"cpu-intel-intel-core-i5-10600k","Intel Core i5-10600K","Intel","cpu","BX8070110600K","high"
"cpu-intel-intel-core-i7-10700k","Intel Core i7-10700K","Intel","cpu","BX8070110700K","high"
"cpu-intel-intel-core-i9-10900k","Intel Core i9-10900K","Intel","cpu","BX8070110900K","high"
"cpu-intel-intel-core-i9-10900kf","Intel Core i9-10900KF","Intel","cpu","BX8070810900KF","high"
"cpu-intel-intel-core-i5-11400","Intel Core i5-11400","Intel","cpu","BX8070811400","high"
"cpu-intel-intel-core-i5-11400f","Intel Core i5-11400F","Intel","cpu","BX8070811400F","high"
"cpu-intel-intel-core-i5-11600k","Intel Core i5-11600K","Intel","cpu","BX8070811600K","high"
"cpu-intel-intel-core-i7-11700k","Intel Core i7-11700K","Intel","cpu","BX8070811700K","high"
"cpu-intel-intel-core-i9-11900k","Intel Core i9-11900K","Intel","cpu","BX8070811900K","high"
"cpu-intel-intel-core-i9-11900kf","Intel Core i9-11900KF","Intel","cpu","BX8070811900KF","high"
"cpu-intel-intel-core-i3-12100","Intel Core i3-12100","Intel","cpu","BX8071512100","high"
"cpu-intel-intel-core-i3-12100f","Intel Core i3-12100F","Intel","cpu","BX8071512100F","high"
"cpu-intel-intel-core-i5-12400","Intel Core i5-12400","Intel","cpu","BX8071512400","high"
"cpu-intel-intel-core-i5-12400f","Intel Core i5-12400F","Intel","cpu","BX8071512400F","high"
"cpu-intel-intel-core-i5-12600k","Intel Core i5-12600K","Intel","cpu","BX8071512600K","high"
"cpu-intel-intel-core-i5-12600kf","Intel Core i5-12600KF","Intel","cpu","BX8071512600KF","high"
"cpu-intel-intel-core-i7-12700k","Intel Core i7-12700K","Intel","cpu","BX8071512700K","high"
"cpu-intel-intel-core-i7-12700kf","Intel Core i7-12700KF","Intel","cpu","BX8071512700KF","high"
"cpu-intel-intel-core-i9-12900k","Intel Core i9-12900K","Intel","cpu","BX8071512900K","high"
"cpu-intel-intel-core-i9-12900ks","Intel Core i9-12900KS","Intel","cpu","BX8071512900KS","high"
"cpu-intel-intel-core-i3-13100","Intel Core i3-13100","Intel","cpu","BX8071513100","high"
"cpu-intel-intel-core-i3-13100f","Intel Core i3-13100F","Intel","cpu","BX8071513100F","high"
"cpu-intel-intel-core-i5-13400","Intel Core i5-13400","Intel","cpu","BX8071513400","high"
"cpu-intel-intel-core-i5-13400f","Intel Core i5-13400F","Intel","cpu","BX8071513400F","high"
"cpu-intel-intel-core-i5-13600k","Intel Core i5-13600K","Intel","cpu","BX8071513600K","high"
"cpu-intel-intel-core-i5-13600kf","Intel Core i5-13600KF","Intel","cpu","BX8071513600KF","high"
"cpu-intel-intel-core-i7-13700k","Intel Core i7-13700K","Intel","cpu","BX8071513700K","high"
"cpu-intel-intel-core-i7-13700kf","Intel Core i7-13700KF","Intel","cpu","BX8071513700KF","high"
